32 2549.8 2237.78
48 3886.64 3211.82
64 4571.43 3599.4
96 4935.73 3866.36
128 8126.98 6388.24
192 11394.7 4207.21
256 16516.1 7206.24
384 23202.4 8739.21
512 32000 13559.6
768 43512.7 16847.2
1024 58850.6 21318.3
1536 104846 79309.5
2048 128401 106188
3072 137758 43237.4
4096 217294 87036.9
6144 335738 123787
8192 417959 173933
12288 635039 253794
16384 857801 367076
24576 1.0996e+06 443521
32768 1.24357e+06 505658
