32 1287.73 879.179
48 1916.17 1306.01
64 2723.4 2125.69
96 4042.11 3142.88
128 5400.84 4014.98
192 8033.47 6260.6
256 10600.4 8130.75
384 15900.6 12525
512 20898 16638.6
768 30658.7 17587.7
1024 41207.2 32325.6
1536 58738 45243.7
2048 74068.7 57766.6
3072 70057 51593.3
4096 78997.1 66188.6
6144 107695 73565.2
8192 211134 160155
12288 282158 242726
16384 264471 232129
24576 308744 236585
32768 414522 374084
49152 405377 378841
65536 440875 393331
98304 461846 448982
131072 502962 398971
196608 495796 423373
262144 515625 482172
393216 544206 513509
524288 561486 546521
